continent,country,dataset_name,provider,coverage,source_type,label_or_geometry,confirmed_pv_presence_label,scale_or_record_count,license_or_access,recommended_earthpv_use,priority,source_url,last_updated,notes
Africa,Kenya,Nairobi Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Nairobi sample area,Building/roof context dataset,Building footprint polygons + suitable area/capacity/building type,No,Individual-building structure level,CC0 1.0,Roof masks; sampling frame; verified-negative collection,B+,https://energydata.info/en/dataset/nairobi-rooftop-solar-potential-mapping,2022-04-15,Useful complement to WRI Kilifi PV-presence labels.
Africa,Madagascar,Solar Energy Data and Annotated PV Images in Madagascar,Lacuna Fund-supported project / Zenodo,Madagascar; satellite and drone collection areas,Direct training dataset,"Manually annotated satellite and drone images; placement fields include roof, open space, both and window; panel counts/area for satellite imagery",Yes; 25% field verification reported,"11,154 manually processed images; annual update intended",Open Zenodo record; explicit license field should be checked before redistribution,"Excellent African gold/strong-Silver labels, especially for sparse/off-grid PV and mixed placement types",A+,https://zenodo.org/records/15336414,2025-05-28,Methodology combines visual identification with field verification of 25% of identifications.
Africa,Mauritius,"2022 Housing Census – Electricity from CEB, Photovoltaic and Other Sources",Statistics Mauritius / Open Data Mauritius,"Mauritius; island, district and local geographical areas",Official census / aggregate statistics,Housing units/households/population by geographic area and electricity source including photovoltaic,Aggregate,"1,665 CSV records in census-derived table",CC BY-SA 4.0,Fine-grained prevalence calibration and hotspot sampling; compare EarthPV predictions with census solar-electricity prevalence,B+,https://data.govmu.org/dataset/number-housing-units-occupied-private-households-households-and-population-geographical,2026-04-14,"Census measure is electricity source, not a rooftop geometry label; useful for administrative calibration."
Africa,Morocco,Nador Rooftop Solar Potential GIS / 3D Building Model,Research study authors,Nador,Research / building-roof context dataset,"LiDAR/photogrammetry-derived 3D buildings and GIS solar-cadastre variables including suitable roof area, slope, orientation and shading",No; potential only,Study reports 336 ha of suitable rooftop area across the study area,Open-access paper; standalone GIS data download not located—contact authors,"North African roof-context layer, sampling frame and hard-negative generation if geometries can be obtained",B,https://www.sciencedirect.com/science/article/pii/S2096511725000787,2025-08-26,Do not use as PV-presence ground truth; value is roof morphology and potential stratification.
Africa,Namibia,Licensed Rooftop Systems (Operational),Electricity Control Board of Namibia,"Windhoek, Khomas Region",Official installation registry/list,Named operational rooftop PV systems with installed capacity,Yes,5 operational rooftop systems listed in Jun 2023; 8.936 MW total,Public regulator PDF; reuse license not stated,Small but high-confidence named-building Silver positives for Windhoek; useful for C&I rooftop validation,B+,https://www.ecb.org.na/wp-content/uploads/2023/06/Rooftops.pdf,2023-06 (PDF publication path; exact day not stated),Examples include brewery and shopping-mall rooftops; geocode named properties and verify against imagery/date.
Africa,Nigeria,Afe Babalola University Rooftop Solar PV Potential Dataset,Research dataset / Mendeley Data,"Ado-Ekiti, Ekiti State; Afe Babalola University College of Engineering",Building/roof context dataset,"Roof surface areas, usable areas, orientations, panel-fit counts, rated capacity and 3D-building information",No; roof potential only,Building/roof-level engineering dataset for university buildings,CC BY 4.0,"West African institutional-roof context, roofclf negatives/sampling, and capacity sanity checks",B,https://data.mendeley.com/datasets/ysgkfmk6g2,Not stated; Mendeley dataset checked 2026-09-13,Adds Ekiti State beyond existing Lagos coverage; do not treat potential panel layouts as observed installations.
Africa,Nigeria,Lagos Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Lagos city sample area,Building/roof context dataset,Building footprint polygons + rooftop attributes,No,Individual-building structure level,CC0 1.0,Legacy benchmark / roof-context labels,B,https://energydata.info/dataset/lagos-rooftop-solar-potential-mapping,2022-04-15,Older city-center release; superseded for many uses by Lagos State dataset.
Africa,Nigeria,NERC Licencees / Generation Permits,Nigerian Electricity Regulatory Commission (NERC),Nigeria,Official generation licensing registry,"Licensed generator records with site/address, state, capacity, status and generation technology including solar","Yes for licensed projects, but mostly larger/embedded generation rather than residential rooftop",National licencee list; dynamic,Public NERC licencee list/download,Validate larger and embedded solar systems; hard examples and regional priors; limited utility for small residential rooftop labels,C+,https://nerc.gov.ng/need-help/services/licencees/,Live licencee page checked 2026-09-13; downloadable list page dated 2024-02-01,Use selectively because this registry does not comprehensively cover household rooftop PV.
Africa,Nigeria,Lagos State Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Lagos State,Building/roof context dataset,Building footprint polygons + suitable area/capacity/building type,No,State-scale building-level dataset; CSV ~323 MB,CC0 1.0,Very useful roof universe for active learning and building matching,A-,https://energydata.info/en/dataset/lagos-state-rooftop-solar-potential-mapping,2024-08-27,Newer and much larger than the older Lagos city-center release.
Africa,Rwanda,Rwanda UAV Solar PV Annotations,Duke / RTI researchers,"6 provinces, 15 collection phases",Direct training dataset,PV polygons and binary masks,Yes,214 PV instances; paired with UAV RGB imagery,Annotations published on Figshare; page states CC-BY-NC-SA-4.0 in text while metadata also shows CC BY 4.0—license should be reconciled before use,Excellent African small-solar-home-system localization; segmentation/domain adaptation,A+,https://figshare.com/articles/dataset/Solar_photovoltaic_annotations_for_computer_vision_related_to_the_Classification_Training_Dataset_for_Crop_Types_in_Rwanda_drone_imagery_dataset/18094043,2022 (Figshare/publication release; exact record modification date not verified),One of the rare open African PV-presence label datasets.
Africa,Senegal,Registre solaire du Sénégal / Observatoire National du Solaire,Observatoire National du Solaire,National Senegal; regional filtering available,Open installation registry / API,"Installation records with region, latitude/longitude, type/class/topology, sector, kWp, panel count, install date, verification status and origin","Declared only: all 478 carry statut_verification 'Declare' and none is verified, so absence cannot be read as a negative.","478 installations nationally, 8.80 MWc, verified from the API 2026-09-19; 476 geolocated at ~4 decimals. Sectors: Agriculture 379, Pompage 42, Telecom 42, Residentiel 11, Production 3. Median 5.0 kWc; 3 sites hold 6.7 of 8.8 MWc.",CC BY 4.0,Sparse geolocated positives and a national adoption prior. NOT a calibration area: densest 0.1 deg cell holds 12 installations and the population is agricultural pumping rather than rooftop.,B,https://registry.nrjsolaire.sn/donnees,Not stated; live registry checked 2026-09-13,"Downgraded from A+ 2026-09-19 after pulling the API. Licence and access are genuinely good (CC BY 4.0, JSON/CSV); the limitation is that it is a voluntary declaration registry, not a mandatory register like MaStR or ODRE."
Africa,South Africa,Cape Town Small-Scale Embedded Generation (SSEG) Registration / Authorization Records,City of Cape Town,Cape Town,Municipal administrative registry / partnership target,Property-level SSEG applications/registrations; rooftop solar systems are required to be authorized/registered,Potentially yes after filtering approved/commissioned records,Municipal registry; no complete open building-level export identified in initial scan,Application portal is public; detailed registry export likely requires municipal partnership/data request,High-value municipal Silver labels if geocoded export can be obtained; validation and exhaustive local calibration,A,https://www.capetown.gov.za/ApplyforSSEG,Live municipal process; checked 2026-09-13,Distinct from the public City facilities layer: this is the broader SSEG administrative process and a partnership opportunity.
Africa,South Africa,SSEG Applications (Export Agreement) feature layer,Breede Valley Municipality GIS,Breede Valley Municipality,Municipal registry / geospatial feature service,Point locations with SSEG application/export status,Likely yes; application records,"Feature layer, queryable as JSON/GeoJSON; record count dynamic",Public ArcGIS REST endpoint; copyright/license field not specified,Silver positives after status filtering; local validation; candidate sampling,A,https://arcgis.bvm.gov.za/arcgis/rest/services/Directorates/EngineeringServices/MapServer/30,Not stated; dynamic ArcGIS layer checked 2026-09-13,Directly geospatial municipal SSEG applications; confirm whether approved/commissioned before training.
Africa,South Africa,Smart Facilities Solar,City of Cape Town,Cape Town municipal facilities,Municipal geospatial operational dataset,Point locations + solar generation attributes,Yes for municipal facilities,"839 rows over 23 DISTINCT council facilities, verified via the ArcGIS REST layer 2026-09-19; the rows are a monthly generation time series, not 839 sites.",Public ArcGIS REST service; municipal copyright notice,Clean institutional-rooftop positives; calibration and hard-domain examples,B-,https://citymaps.capetown.gov.za/agsext/rest/services/Theme_Based/Open_Data_Service/MapServer/177,Not stated; dynamic ArcGIS layer checked 2026-09-13,"Only council facilities, so biased toward public/institutional roofs."
Africa,South Africa,South Africa Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,"Johannesburg, Witbank, Ermelo, Hendrina and sample areas",Building/roof context dataset,"Building footprint polygons with suitable area, installable capacity, roof/building attributes",No; potential not installed PV,Large city-level building datasets in GDB/CSV,CC BY 4.0,"Roof masks, stratified sampling, verified-negative creation, roof-type/domain adaptation",A-,https://energydata.info/dataset/south-africa-rooftop-splar-potential-mapping,2024-06-18,Do not treat potential as PV presence. Useful for roofclf and sampling.
Africa,Tanzania,Dar es Salaam Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Dar es Salaam city center,Building/roof context dataset,"Building polygons; area, suitable area, kW, kWh, height, roof angle, building type",No,CSV ~63 MB plus vector data,CC0 1.0,Roof masks; negative sampling; stratified local annotation,B+,https://energydata.info/dataset/dar-es-salaam-rooftop-solar-potential-mapping,2022-04-15,"Potential dataset, not installation labels."
Africa,Tunisia,PROSOL Elec Photovoltaic Programme Evolution,ANME / Tunisia National Open Data Portal,National Tunisia,Official aggregate statistics,Historical programme deployment statistics for grid-connected low-voltage photovoltaic systems,Aggregate,XLS time series for PROSOL Elec; portal metadata updated 11 Mar 2025,Tunisia open-data portal; license identifier shown on catalog—verify exact reuse terms in metadata,National calibration/historical adoption prior; identify temporal/domain shift when selecting Tunisian annotation areas,B,https://catalog.data.gov.tn/dataset/tn-evolution-programme-solaire-photopholtaique-prosol-elec,2025-03-11,PROSOL Elec is photovoltaic; do not confuse with PROSOL residentiel solar-water-heater datasets.
Africa,Uganda,ProREU Solar PV Map – Lango Sub-region,ACSET Uganda / Urbis Foundation / GIZ,"Lango Sub-region, Northern Uganda",Open mapped installation dataset,"Mapped functional and non-functional PV systems on government buildings, private institutions, businesses and households; also government buildings without PV",Yes; includes explicit no-PV building map,Subregional mapped systems and institutions; multiple points where institutions have systems on multiple buildings,"PDF maps only, verified 2026-09-19: no GeoJSON, CSV, shapefile or API is exposed on the site. No licence stated.",Highest-value African PARTNERSHIP lead: the explicit no-PV building map is the denominator every other African source lacks. Unusable until the underlying data is requested.,B (ask first),https://solarpvdata.acsetuganda.org/,Not stated; project map checked 2026-09-13,"Rare source that includes both PV-positive buildings and mapped government buildings without PV, reducing negative-label ambiguity."
Africa,Zambia,Rooftop PV Potential in Low-Electrified Rural Zambia,Research study authors,Rural Zambia,Research / building-roof context dataset,Dwelling/building-footprint-derived usable rooftop area and PV potential,No; potential only,"Study analyzes 1,521,948 valid rural dwellings and ~26.93 km² usable roof area",Open-access study; machine-readable derived dataset release not verified,Rural roof-universe and stratified sampling layer; target annotation in low-electrification domains without treating potential as presence,B-,https://www.sciencedirect.com/science/article/pii/S0973082626001055,2026 (publication year; exact date not verified),Useful for locating rural roofs and defining negatives only after direct image inspection; not installed-PV labels.
Asia,Bangladesh,Bangladesh C&I Rooftop Solar Mapping Labels,TransitionZero,National sample with broad geographic coverage,Research training dataset / model-derived map,Manually identified and labelled rooftop solar in sampled high-resolution imagery,Yes,Exact label count not disclosed in public article,Public methodology/results; downloadable raw labelled set not verified; imagery credited to Airbus DS,Excellent partnership target; direct Bangladesh localization labels,A,https://www.transitionzero.org/insights/bangladesh-rooftop-solar-humble-beginnings,2026-02-19,2026 project explicitly built a labelled dataset for extrapolation.
Asia,Bangladesh,Statistics of Installed Net Metering System,SREDA,"Bangladesh, by utility",Official registry statistics,"Utility-level counts and installed MWp, time series",Aggregate only,"1,941 systems / 84.592 MWp shown on current page snapshot; time series by utility",Public government statistics page; reuse terms not clearly shown,"Calibration, completeness checks, regional priors; not direct training labels",B,https://nsrra.sreda.gov.bd/solar/nem/nemstatistics.php,2023-07-01 (latest dated progress record shown),Useful to constrain EarthPV totals by utility territory.
Asia,Bangladesh,Dhaka Rooftop Solar Potential Mapping,NEO / World Bank energydata.info,Dhaka sample area,Building/roof context dataset,Building footprint polygons + suitable rooftop area/capacity/building type,No,Individual-building structure level; CSV ~134 MB,CC0 1.0,"Roof universe, candidate matching, hard-negative annotation",A-,https://energydata.info/dataset/dhaka-rooftop-solar-potential-mapping,2022-04-15,Can be paired with SREDA registry statistics and TransitionZero labels.
Asia,China,Multi-resolution PV Panel Segmentation Dataset,Chinese Academy of Sciences / Jiangsu Provincial Geomatics Center,Jiangsu Province; UAV rooftop subset includes Hai’an County,Direct training dataset,"PV segmentation masks / polygons at 0.8 m, 0.3 m and 0.1 m; rooftop classes by roof material",Yes,"3,716 PV samples; rooftop and ground-mounted PV; rooftop classes include flat concrete, steel tile and brick",Open Zenodo dataset; associated ESSD article is CC BY 4.0; verify dataset-record license metadata before redistribution,Gold segmentation labels; China domain adaptation; roof-material stratification; hard-negative generation around exhaustively annotated chips,A+,https://zenodo.org/records/5171712,2021-08-26,Especially valuable because the published experiments demonstrate that direct cross-resolution transfer is weak and target-domain fine-tuning is needed.
Asia,China,ChinaPV-10m-2024,Research dataset / Zenodo,National China,Model-derived PV inventory,Vector polygons for rooftop and utility-scale PV derived from Sentinel-1 and Sentinel-2,Model-derived (not human-confirmed),Nationwide 2024 10 m PV inventory; per-polygon attributes include estimated capacity and generation,Open Zenodo record; license field should be checked before redistribution,Bronze pseudo-labels directly aligned with EarthPV sensor scale; active-learning candidate pool and regional completeness comparisons,A,https://zenodo.org/records/20179001,2026-05-21,Do not mix model-derived polygons with gold labels; use agreement/disagreement sampling and human verification.
Asia,China,GaoFen-7 Industrial & Commercial Rooftop PV Labels,Remote Sensing study authors,Jiangsu Province,Research training dataset / author-access target,Manually delineated industrial and commercial rooftop PV from GaoFen-7 imagery,Yes,"4,109 I&C rooftop PV objects; 6,263 256x256 sample-label pairs from 14 GaoFen-7 images",Paper is public; standalone training-data download not verified—contact authors and confirm imagery/license terms,Industrial/commercial rooftop specialization for eastern China; transfer labels to Sentinel-2 footprints after temporal alignment,B+,https://www.mdpi.com/2072-4292/15/24/5744,2023-12-15,Useful if the annotation files can be obtained; keep GaoFen imagery rights separate from label rights.
Asia,Hong Kong,Rooftop Solar PV Development Potential empirical data,Hong Kong Chief Executive’s Policy Unit / PolyU,Hong Kong,Research / potential dataset,CSV empirical data from rooftop PV potential and policy study,Not necessarily installation presence,Project-level empirical release; details depend on downloadable files,Hong Kong open-data portal; check dataset-specific terms,Urban high-rise rooftop context; potential validation / ancillary features,C+,https://data.gov.hk/en-data/dataset/hk-cepu-prfs-funding-scheme-project-no-2013-a6-010-13a,"Not stated; update frequency is ""as and when necessary"" (checked 2026-09-13)",Ancillary rather than primary PV labels.
Asia,India,PM Surya Ghar rooftop solar installation statistics / National Portal,MNRE / Government of India,"India, state/UT and DISCOM reporting",Official registry statistics,"Counts, added/cumulative capacity and subsidy/installation statistics",Aggregate; underlying beneficiary applications are installation-level but not openly exposed,26+ lakh systems reported by March 2026; state/UT tables published,Government data / OGD; open tables under GODL-India where published,"Calibration, localization priorities, DISCOM partnership pathway",B+,https://solarrooftop.pmsuryaghar.gov.in/Report/Incentive/releasedList,Not stated; live portal checked 2026-09-13,Best path to granular labels may be through DISCOM/MNRE partnership rather than public portal scraping.
Asia,India,AI Dataset for Solar Energy Locations in India,Microsoft/academic collaborators,"Madhya Pradesh, Maharashtra, Kerala, Telangana, Karnataka, Andhra Pradesh",Direct training dataset (primarily solar farms),"Point labels, weak segmentation masks, pristine polygons, negatives","Yes, but mainly ground-mounted",117 initial georeferenced points; 191 noisy points; 234 positive Sentinel-2 patches + 50 negatives; 72 pristine Maharashtra polygons,Open scientific dataset; verify repository license at download,"Useful Sentinel-2 PV spectral pretraining and hard negatives, less direct for rooftop domain",B,https://www.nature.com/articles/s41597-022-01499-9,2022-08-16,"Especially relevant because EarthPV uses Sentinel-2, but rooftop transfer must be validated."
Asia,India,Karnataka District Rooftop Solar Beneficiaries under PM Surya Ghar,Government of India Open Government Data / MNRE,Karnataka; district level,Official aggregate statistics,District-wise count of households benefited through rooftop solar installation,Aggregate,District-level snapshot as of 27 Jan 2025,Government Open Data License - India,District calibration and active-learning allocation; compare predicted residential rooftop counts with program uptake,B-,https://karnataka.data.gov.in/resource/district-wise-number-households-benefitted-through-installation-rooftop-solar-plants-under,2025-05-30 (data as of 2025-01-27),Not building-level labels; program participation is also not a complete census of all rooftop PV.
Asia,India,Maharashtra District Beneficiaries under PM Surya Ghar,Government of India Open Government Data / MNRE,Maharashtra; district level,Official aggregate statistics,District-wise beneficiary counts,Aggregate,District-level snapshot as of 11 Dec 2024,Government Open Data License - India,District-level calibration and training-site prioritization,B-,https://www.data.gov.in/resource/district-wise-number-beneficiaries-under-pm-surya-ghar-muft-bijli-yojana-state-maharashtra,2025-02-28 (data as of 2024-12-11),"Use as a deployment prior, not as direct image labels."
Asia,India,Odisha District Rooftop Solar Beneficiaries under PM Surya Ghar,Government of India Open Government Data / MNRE,Odisha; district level,Official aggregate statistics,District-wise count of households benefited through rooftop solar plants,Aggregate,District-level snapshot as of 24 Jan 2025,Government Open Data License - India,District calibration and annotation-budget allocation across urban/rural roof domains,B-,https://odisha.data.gov.in/resource/district-wise-number-households-benefitted-through-installation-rooftop-solar-plants-0,2025-05-30 (data as of 2025-01-24),Not building-level and not necessarily complete of non-program rooftop systems.
Asia,India,West Bengal District PM Surya Ghar Applications and Installations,Government of India Open Government Data / MNRE,West Bengal; district level,Official aggregate statistics,District-wise applications received and installations completed,Aggregate,District-level snapshot as of 10 Dec 2024,Government Open Data License - India,Useful both as uptake denominator and completed-installation calibration layer by district,B-,https://ap.data.gov.in/resource/district-wise-number-applications-received-and-installations-completed-under-pm-surya-ghar,2024-12-31 (data as of 2024-12-10),The source portal alias may redirect across India OGD state domains; completed installations are the relevant field.
Asia,Indonesia,ESDM Rooftop Solar PV Statistics,Ministry of Energy and Mineral Resources (ESDM) / EBTKE,Indonesia,Official national rooftop-PV statistics,Aggregate national rooftop-PV deployment/capacity statistics,No direct installation geometry; aggregate confirmed deployment,National rooftop-PV capacity statistics; 916.99 MW cited for April 2026 in initial scan,Public government statistics/portal; installation-level registry not identified as open,National calibration and deployment-prior checks; target provinces/cities for manual localization campaigns,B,https://ebtke.esdm.go.id/,2026-04 statistics cited in initial scan,Complements the subnational Indonesian rows already in the registry; not suitable as direct training labels without microdata.
Asia,Indonesia,Rooftop PV–EV Pathways Across 38 Indonesian Provinces,Research dataset / Mendeley Data,All 38 provinces; Jawa Timur sensitivity analysis,Research / rooftop-potential dataset,"Processed inputs, SAM outputs and scenario workbooks for provincial rooftop-PV potential and PV-EV pathways",No; potential/scenario data,Nationwide province-level modelling dataset published Sep 2026,CC BY 4.0,Provincial sampling/context layer; prioritize representative climate/load regions and compare predicted roof opportunity with observed deployments,B,https://data.mendeley.com/datasets/v77grtmhtj/1,2026-09-09,Not installation-presence supervision; keep out of positive-label tables.
Asia,Indonesia,West Java Solar Power Plants by Regency/City,West Java Energy and Mineral Resources Agency / Open Data Jabar,West Java Province; kabupaten/kota,Official aggregate statistics,Number of solar power plants by regency/city and year,Aggregate; not rooftop-specific,Annual 2018-2025 subprovincial series,West Java Open Data portal; verify dataset-specific open-data terms,Subprovincial calibration and sampling prior; identify regencies/cities where OSM/EarthPV appear incomplete,B,https://opendata.jabarprov.go.id/en/dataset/jumlah-pembangkit-listrik-tenaga-surya-berdasarkan-kabupatenkota-di-jawa-barat,2026-09-01,May mix rooftop and other PV installations; not suitable as direct positive/negative labels.
Asia,Indonesia,Southeast Sulawesi Rooftop PV Data 2023,Southeast Sulawesi Provincial Government / SIMDATA,Southeast Sulawesi Province; named locations in Kolaka Utara and Kendari,Official rooftop-PV registry/list,"Named rooftop PV plant, location, number of units, capacity, COD, funding source and owner/operator",Yes,4 explicitly rooftop PV records in 2023 API table,Public web table and API; explicit reuse license not displayed—verify before redistribution,High-confidence Silver positives; geocode named public buildings and verify roof polygons against imagery,A-,https://simdata.sultraprov.go.id/detail-api/tabel_74_671/2023,2025-07-23,Small but unusually clean rooftop-specific administrative list; records include Kendari and Kolaka Utara facilities.
Asia,Japan,FIT/FIP Prefecture and Municipality Deployment Statistics,"Agency for Natural Resources and Energy, METI",All prefectures and municipalities,Official registry/statistics,"Counts and installed/certified capacity by prefecture and municipality, including residential solar <10 kW",Aggregate,"Current publication includes 2,610,053 introduced residential <10 kW systems under the newer scheme as of 31 Mar 2026, plus transferred systems",Public downloadable official tables; check Japanese government site terms for redistribution,High-quality municipal calibration target; rank under-mapped municipalities; estimate recall and drive stratified annotation campaigns,A,https://www.fit-portal.go.jp/publicinfosummary,2026-08-18 (data through 2026-03-31),Updated 18 Aug 2026 for data through 31 Mar 2026; downloadable A/B tables are available at prefecture and municipality level.
Asia,Japan,Photovoltaic Inventory Dataset in Japan Detected in Sentinel-2 Imagery,Research dataset / Zenodo,National Japan,Model-derived PV inventory,High-confidence estimated PV polygons from Sentinel-2,Model-derived (not human-confirmed),National polygon inventory derived from Sentinel-2; downloadable vector data,Open Zenodo record; verify dataset license metadata before redistribution,Sensor-aligned Bronze labels; geographic sampling; disagreement analysis against EarthPV and FIT/FIP statistics,A,https://zenodo.org/records/13344047,2024-08-20,"Best used as pseudo-labels, not as independent gold ground truth because detections are model-generated."
